livre;chapitre;verset_de;verset_a;traduction;code;paragraphe
Actes;2;0;0;SKN;60-0807;19
Actes;2;0;0;SKN;60-1125;52
Actes;2;0;0;SKN;60-1127M;23
Actes;2;0;0;SKN;60-1205;157
Actes;2;0;0;SKN;61-0209;33
Actes;2;0;0;SKN;61-0210;40
Actes;2;0;0;SKN;61-0318;58
Actes;2;0;0;SKN;61-0319;89
Actes;2;0;0;SKN;61-0410;37
Actes;2;0;0;SKN;61-0723E;54
Actes;2;0;0;SKN;61-0808;71
Actes;2;0;0;SKN;61-0813;16
Actes;2;0;0;SKN;61-0813;23
Actes;2;0;0;SKN;62-0407;125
Actes;2;0;0;SKN;62-0624;11
Actes;2;0;0;SKN;63-0123;208
Actes;2;0;0;SKN;63-0320;118
Actes;2;0;0;SKN;63-0320;119
Actes;2;0;0;SKN;63-0320;309
Actes;2;0;0;SKN;63-0324M;151
Actes;2;0;0;SKN;63-0608;111
Actes;2;0;0;SKN;63-0628E;78
Actes;2;0;0;SKN;63-0628M;231
Actes;2;0;0;SKN;63-0707M;164
Actes;2;0;0;SKN;63-0825E;154
Actes;2;0;0;SKN;63-1201M;24
Actes;2;0;0;SKN;64-0629;176
Actes;2;0;0;SKN;64-0629;199
Actes;2;0;0;SKN;64-1205;78
Actes;2;0;0;SKN;65-0123;81
Actes;2;0;0;VGR;54-0103M;42
Actes;2;0;0;VGR;54-0514;257
Actes;2;0;0;VGR;54-0515;102
Actes;2;0;0;VGR;54-1024;111
Actes;2;0;0;VGR;56-0115;7
Actes;2;0;0;VGR;56-0122;72
Actes;2;0;0;VGR;57-0925;108
Actes;2;0;0;VGR;57-0925;158
Actes;2;0;0;VGR;57-0925;213
Actes;2;0;0;VGR;58-0927;133
Actes;2;0;0;VGR;58-0927;187
Actes;2;0;0;VGR;58-0927;188
Actes;2;0;0;VGR;59-0418;84
Actes;2;0;0;VGR;59-1216;97
Actes;2;0;0;VGR;59-1223;168
Actes;2;0;0;VGR;60-1205;149
Actes;2;0;0;VGR;61-0319;91
Actes;2;0;0;VGR;61-0319;92
Actes;2;0;0;VGR;61-0723E;54
Actes;2;0;0;VGR;61-0808;181
Actes;2;0;0;VGR;61-0813;42
Actes;2;0;0;VGR;61-0813;72
Actes;2;0;0;VGR;63-0123;208
Actes;2;0;0;VGR;63-0320;118
Actes;2;0;0;VGR;63-0320;119
Actes;2;0;0;VGR;63-0320;309
Actes;2;0;0;VGR;63-0324M;151
Actes;2;0;0;VGR;63-0608;327
Actes;2;0;0;VGR;63-0628M;231
Actes;2;0;0;VGR;63-0707;164
Actes;2;0;0;VGR;63-0707M;164
Actes;2;0;0;VGR;63-0825E;154
Actes;2;0;0;VGR;63-1201M;24
Actes;2;0;0;VGR;64-0629;176
Actes;2;0;0;VGR;64-0629;199
Actes;2;0;0;VGR;64-1205;174
Actes;2;0;0;VGR;65-0123;82
Actes;2;4;4;SKN;53-1129A;86
Actes;2;4;4;SKN;55-0117;88
Actes;2;4;4;SKN;59-1220E;18
Actes;2;4;4;SKN;60-0807;9
Actes;2;4;4;SKN;60-0807;15
Actes;2;4;4;SKN;60-0807;19
Actes;2;4;4;SKN;60-0807;25
Actes;2;4;4;SKN;61-0112;117
Actes;2;4;4;SKN;61-0112;244
Actes;2;4;4;SKN;61-0112;253
Actes;2;4;4;SKN;61-0128;18
Actes;2;4;4;SKN;61-0316;35
Actes;2;4;4;SKN;61-0316;52
Actes;2;4;4;SKN;61-0316;53
Actes;2;4;4;SKN;61-0424;26
Actes;2;4;4;SKN;61-0424;82
Actes;2;4;4;SKN;61-0424;84
Actes;2;4;4;SKN;62-0728;28
Actes;2;4;4;SKN;65-0124;46
Actes;2;4;4;VGR;55-0117;88
Actes;2;4;4;VGR;59-1220E;18
Actes;2;4;4;VGR;61-0112;117
Actes;2;4;4;VGR;61-0112;244
Actes;2;4;4;VGR;61-0112;253
Actes;2;6;6;SKN;59-1220E;18
Actes;2;6;6;VGR;59-1220E;18
Actes;2;8;8;SKN;53-1111;14
Actes;2;17;17;SKN;65-1126;290
Actes;2;17;17;VGR;65-1126;290
Actes;2;22;22;SKN;52-0716;30
Actes;2;22;22;SKN;52-0726;64
Actes;2;24;24;SKN;53-1110;39
Actes;2;24;24;SKN;53-1115E;21
Actes;2;24;24;SKN;53-1129A;86
Actes;2;27;27;SKN;57-1002;376
Actes;2;27;27;VGR;57-1002;376
Actes;2;30;30;SKN;52-0810A;30
Actes;2;36;36;SKN;60-1204M;371
Actes;2;36;36;VGR;60-1204M;357
Actes;2;38;38;SKN;54-0303;17
Actes;2;38;38;SKN;54-0403;29
Actes;2;38;38;SKN;54-0515;183
Actes;2;38;38;SKN;54-0515;218
Actes;2;38;38;SKN;54-0515;219
Actes;2;38;38;SKN;54-1219E;35
Actes;2;38;38;SKN;54-1231;76
Actes;2;38;38;SKN;55-0117;88
Actes;2;38;38;SKN;55-0731;169
Actes;2;38;38;SKN;57-0127A;29
Actes;2;38;38;SKN;57-0825E;150
Actes;2;38;38;SKN;57-0925;103
Actes;2;38;38;SKN;57-0925;105
Actes;2;38;38;SKN;57-0925;107
Actes;2;38;38;SKN;57-0925;109
Actes;2;38;38;SKN;57-0925;115
Actes;2;38;38;SKN;58-0326;17
Actes;2;38;38;SKN;59-0628M;81
Actes;2;38;38;SKN;60-0626;91
Actes;2;38;38;SKN;60-0807;2
Actes;2;38;38;SKN;60-1126;85
Actes;2;38;38;SKN;60-1207;186
Actes;2;38;38;SKN;60-1218;403
Actes;2;38;38;SKN;60-1225;42
Actes;2;38;38;SKN;61-0108;234
Actes;2;38;38;SKN;61-0108;330
Actes;2;38;38;SKN;61-0108;338
Actes;2;38;38;SKN;61-0108;358
Actes;2;38;38;SKN;61-0112;224
Actes;2;38;38;SKN;61-0112;237
Actes;2;38;38;SKN;61-0117;44
Actes;2;38;38;SKN;61-0117;45
Actes;2;38;38;SKN;61-0119M;10
Actes;2;38;38;SKN;61-0315;218
Actes;2;38;38;SKN;61-0319;89
Actes;2;38;38;SKN;61-0425B;163
Actes;2;38;38;SKN;61-0425B;183
Actes;2;38;38;SKN;61-0425B;208
Actes;2;38;38;SKN;61-0611;77
Actes;2;38;38;SKN;61-0723E;37
Actes;2;38;38;SKN;61-1015M;37
Actes;2;38;38;SKN;61-1015M;39
Actes;2;38;38;SKN;61-1119;305
Actes;2;38;38;SKN;61-1119;313
Actes;2;38;38;SKN;62-0318E;1
Actes;2;38;38;SKN;62-0318M;28
Actes;2;38;38;SKN;62-0609E;48
Actes;2;38;38;SKN;62-0610M;16
Actes;2;38;38;SKN;62-0714;97
Actes;2;38;38;SKN;62-1014E;103
Actes;2;38;38;SKN;62-1014M;129
Actes;2;38;38;SKN;62-1111E;64
Actes;2;38;38;SKN;62-1111E;66
Actes;2;38;38;SKN;62-1123;72
Actes;2;38;38;SKN;62-1125M;101
Actes;2;38;38;SKN;63-0318;212
Actes;2;38;38;SKN;63-0320;136
Actes;2;38;38;SKN;63-0321;289
Actes;2;38;38;SKN;63-0324M;148
Actes;2;38;38;SKN;63-0421;99
Actes;2;38;38;SKN;63-0707M;122
Actes;2;38;38;SKN;63-1124E;146
Actes;2;38;38;SKN;63-1127;160
Actes;2;38;38;SKN;63-1201E;101
Actes;2;38;38;SKN;64-0427;67
Actes;2;38;38;SKN;65-0219;96
Actes;2;38;38;SKN;65-0221M;183
Actes;2;38;38;SKN;65-0711;82
Actes;2;38;38;SKN;65-1125;98
Actes;2;38;38;SKN;65-1125;99
Actes;2;38;38;SKN;65-1125;131
Actes;2;38;38;VGR;54-0515;183
