ref;traduction;code;paragraphe;nb_mots;mots
Esaie 27:12;SKN;50-0827E;5;4;arrivera disrael leternel rassembles
Esaie 53:12;SKN;50-0827E;5;4;ame aura forts plusieurs
Apocalypse 1:1;SKN;50-0827E;5;5;arriver bientot doivent donnee montrer
Matthieu 3:16;SKN;50-0827E;5;5;aussitot ayant cieux descendre leau
Genese 1:28;SKN;50-0827E;5;4;cieux mer meut vivant
Hebreux 12:25;SKN;50-0827E;5;4;cieux garde parlait prenez
Actes 20:24;SKN;50-0827E;5;7;aucun cas levangile rendre service temoignage tiens
Josue 10:12;SKN;50-0827E;5;4;arrete disrael leternel parla
Jean 14:9;SKN;50-0827E;5;4;connu mas montre philippe
Hebreux 4:14;SKN;50-0827E;5;5;ayant cieux confession ferme tenons
Apocalypse 17:17;SKN;51-0413;53;4;curs paroles royaume soient
Actes 20:24;SKN;51-0414;43;4;aucun rendre temoignage tiens
Matthieu 24:24;SKN;51-0501;42;4;grands prodiges prophetes signes
Apocalypse 10:1;SKN;51-0502;43;4;ange descendant pieds visage
Apocalypse 10:1-7;SKN;51-0502;43;4;ange descendant pieds visage
Esaie 27:12;SKN;51-0503;24;4;disrael fleuve jusquau leternel
Josue 10:12;SKN;51-0503;24;4;disrael josue leternel soleil
1 Timothee 3:16;SKN;51-0505;27;5;chair eleve manifeste nations preche
Esaie 53:5;SKN;51-0505;28;5;blesse chatiment gueris meurtrissures paix
Actes 20:24;SKN;51-0507;32;4;levangile rendre temoignage tiens
Jean 3:14;SKN;51-0508;28;4;desert eleva eleve serpent
Jean 5:7;SKN;51-0509;16;4;leau nai repondit viens
Esaie 53:5;SKN;51-0717;19;6;blesse chatiment gueris iniquites meurtrissures paix
Jean 5:7;SKN;51-0719;8;7;agitee descend leau malade nai repondit viens
Esaie 9:6;SKN;51-0719;53;4;conseiller merveilleux paix prince
Esaie 53:5;SKN;51-0719;58;5;blesse chatiment gueris meurtrissures paix
Esaie 53:5;SKN;51-0720;51;6;blesse chatiment gueris iniquites meurtrissures paix
Jean 14:9;SKN;51-0721;36;4;connu mas montre philippe
Matthieu 3:16;SKN;51-0722E;15;4;ayant descendre leau vit
Jean 5:7;SKN;51-0727;5;9;agitee descend jette leau malade nai repondit reservoir viens
Hebreux 1:1;SKN;51-0728;9;6;autrefois manieres peres plusieurs prophetes reprises
Jean 5:7;SKN;51-0728;19;4;leau nai repondit viens
Luc 16:16;SKN;51-0728;20;4;loi lors prophetes royaume
Matthieu 24:29;SKN;51-0729A;33;4;cieux etoiles lune soleil
Actes 1:8;SKN;51-0729A;69;5;jerusalem judee samarie serez temoins
Actes 2:38;SKN;51-0729A;74;5;baptise don peches recevrez repentez
Matthieu 3:16;SKN;51-0729E;28;4;ayant descendre leau vit
Hebreux 4:14;SKN;51-0729E;33;4;cieux confession sacrificateur souverain
Jean 5:7;SKN;51-0923;18;6;agitee descend leau malade nai repondit
Esaie 53:5;SKN;51-0923;33;5;blesse chatiment gueris meurtrissures paix
Actes 20:24;SKN;51-0923;68;4;aucun cas temoignage tiens
Esaie 9:6;SKN;51-0928;12;4;conseiller merveilleux paix prince
Hebreux 4:14;SKN;51-0928;58;4;cieux confession sacrificateur souverain
Psaumes 103:3;SKN;51-0930E;57;4;guerit iniquites pardonne tes
Matthieu 3:16;SKN;51-1003;51;4;baptise cieux leau ouverts
Hebreux 4:14;SKN;51-1003;65;4;confession ferme sacrificateur souverain
Hebreux 3:1;SKN;51-1003;71;4;confession considerez sacrificateur souverain
Hebreux 4:14;SKN;51-1003;71;4;cieux confession sacrificateur souverain
Genese 22:14;SKN;52-0224;122;5;jehovah jire leternel montagne pourvu
Galates 3:29;SKN;52-0224;123;4;dabraham heritiers selon semence
Esaie 53:5;SKN;52-0224;168;6;blesse chatiment gueris iniquites meurtrissures paix
Jean 3:14;SKN;52-0224;170;4;desert eleva eleve serpent
Jean 5:24;SKN;52-0224;183;5;croit entend envoye eternelle jugement
Genese 1:11;SKN;52-0224;183;5;ayant plante portant selon semence
Matthieu 10:1;SKN;52-0224;183;7;autorite ayant chasser disciples douze esprits guerir
Ephesiens 2:12;SKN;52-0224;183;4;droit etant etiez israel
Apocalypse 20:4;SKN;52-0224;183;5;ames fut jugement rendu temoignage
Actes 20:24;SKN;52-0224;183;7;aucun cas levangile pourvu service temoignage tiens
Actes 2:24;SKN;52-0224;183;4;ayant lequel possible ressuscite
Luc 1:17;SKN;52-0224;183;4;ira justes pensee retourner
Hebreux 4:14;SKN;52-0224;183;4;ayant cieux confession ferme
Joel 2:28;SKN;52-0713E;36;4;jeunes songes vieillards visions
Jean 5:24;SKN;52-0713E;69;4;croit envoye eternelle jugement
Jacques 5:14;SKN;52-0715;13;4;anciens dhuile malade prient
Jacques 5:14;SKN;52-0717;4;6;anciens appelle dhuile loignant malade prient
Jean 5:24;SKN;52-0720A;164;4;croit envoye eternelle jugement
Esaie 53:5;SKN;52-0720E;12;6;blesse chatiment gueris iniquites meurtrissures paix
Esaie 53:5;SKN;52-0720E;15;4;blesse gueris iniquites meurtrissures
