ref;traduction;code;paragraphe;nb_mots;mots
Luc 16:22;SKN;50-0716;50;2;fut sein
Luc 16:22;SKN;50-0716;64;2;arriva fut
Luc 24:9;SKN;50-0716;73;2;laissant sen
Luc 24:12;SKN;50-0716;75;2;alla sen
Luc 24:10;SKN;50-0716;76;2;apotres marie
Luc 24:7;SKN;50-0716;84;2;ressuscite troisieme
Luc 24:46;SKN;50-0716;84;2;ressuscite troisieme
Luc 1:17;SKN;50-0808;11;2;ira pensee
Luc 1:15;SKN;50-0810;5;2;rempli ventre
Luc 1:17;SKN;50-0810;5;2;preparer retourner
Luc 2:28;SKN;50-0810;5;2;benit bras
Luc 7:36;SKN;50-0810;5;2;manger table
Luc 7:42;SKN;50-0810;5;2;lequel navaient
Luc 10:11;SKN;50-0810;5;2;approche pieds
Luc 11:30;SKN;50-0810;5;2;fut jonas
Luc 17:26;SKN;50-0810;5;2;arriva noe
Luc 19:2;SKN;50-0810;5;2;appele riche
Luc 19:3;SKN;50-0810;5;2;foule taille
Luc 21:36;SKN;50-0810;5;2;arriver priant
Luc 24:10;SKN;50-0810;5;2;apotres marie
Luc 24:19;SKN;50-0810;5;2;celles puissant
Luc 24:20;SKN;50-0810;5;2;lont sacrificateurs
Luc 24:21;SKN;50-0810;5;2;delivrer israel
Luc 24:29;SKN;50-0810;5;2;approche rester
Luc 16:22;SKN;50-0811;2;2;arriva fut
Luc 17:14;SKN;50-0811;2;2;arriva rendus
Luc 17:26;SKN;50-0811;2;2;arriva noe
Luc 2:22;SKN;50-0811;9;2;furent jerusalem
Luc 18:5;SKN;50-0811;9;2;ferai veuve
Luc 18:41;SKN;50-0811;20;2;recouvre vue
Luc 18:42;SKN;50-0811;20;2;recouvre vue
Luc 7:47;SKN;50-0811;24;2;pardonnes peches
Luc 7:48;SKN;50-0811;24;2;pardonnes peches
Luc 16:24;SKN;50-0811;25;2;aie pitie
Luc 2:23;SKN;50-0813A;16;2;male selon
Luc 18:40;SKN;50-0813A;19;2;amene setant
Luc 1:67;SKN;50-0813A;23;2;fut zacharie
Luc 1:80;SKN;50-0813A;23;2;fut lenfant
Luc 2:4;SKN;50-0813A;28;2;bethlehem judee
Luc 17:20;SKN;50-0813A;46;2;attirer repondit
Luc 24:28;SKN;50-0813E;3;2;allaient allait
Luc 7:44;SKN;50-0813E;12;2;cheveux larmes
Luc 2:10;SKN;50-0813E;33;2;nayez peur
Luc 17:20;SKN;50-0813E;34;2;etant lattention
Luc 7:43;SKN;50-0813E;37;2;davantage quitte
Luc 18:42;SKN;50-0813E;40;2;gueri recouvre
Luc 18:41;SKN;50-0813E;44;2;recouvre vue
Luc 18:42;SKN;50-0813E;44;2;recouvre vue
Luc 7:36;SKN;50-0813E;46;2;manger table
Luc 2:4;SKN;50-0814;2;2;galilee judee
Luc 2:39;SKN;50-0814;2;2;galilee sen
Luc 19:5;SKN;50-0814;2;2;descends vit
Luc 24:12;SKN;50-0814;2;2;alla sen
Luc 24:46;SKN;50-0814;8;2;dentre troisieme
Luc 24:47;SKN;50-0814;10;2;peches repentance
Luc 7:38;SKN;50-0814;15;2;cheveux larmes
Luc 7:44;SKN;50-0814;15;2;cheveux larmes
Luc 7:43;SKN;50-0814;30;2;juge quitte
Luc 16:24;SKN;50-0814;30;2;aie pitie
Luc 2:10;SKN;50-0814;36;2;nayez peur
Luc 7:43;SKN;50-0814;37;2;justement quitte
Luc 10:4;SKN;50-0814;37;2;chemin portez
Luc 2:10;SKN;50-0814;41;2;nayez peur
Luc 17:15;SKN;50-0814;45;2;haute voix
Luc 24:17;SKN;50-0814;48;2;marchant tenez
Luc 24:3;SKN;50-0815;6;2;etant trouverent
Luc 7:7;SKN;50-0815;11;2;digne serviteur
Luc 24:52;SKN;50-0815;23;2;joie retournerent
Luc 19:5;SKN;50-0815;26;2;descends vit
Luc 10:11;SKN;50-0815;43;2;approche pieds
Luc 18:41;SKN;50-0815;59;2;recouvre vue
Luc 18:42;SKN;50-0815;59;2;recouvre vue
Luc 2:10;SKN;50-0816;2;2;nayez peur
Luc 8:50;SKN;50-0816;2;2;crains repondit
Luc 24:46;SKN;50-0816;7;2;ecrit troisieme
Luc 21:36;SKN;50-0816;14;2;arriver priant
Luc 7:36;SKN;50-0818;12;2;manger table
Luc 2:22;SKN;50-0818;26;2;accomplis loi
Luc 19:3;SKN;50-0818;37;2;cherchait taille
Luc 24:46;SKN;50-0818;40;2;dentre troisieme
Luc 7:37;SKN;50-0818;43;2;table vase
Luc 7:36;SKN;50-0818;46;2;manger table
Luc 24:30;SKN;50-0818;46;2;pain table
Luc 24:7;SKN;50-0818;50;2;crucifie troisieme
Luc 24:20;SKN;50-0818;50;2;crucifie lont
Luc 2:10;SKN;50-0818;54;2;nayez peur
Luc 2:23;SKN;50-0819;16;2;ecrit ouvre
Luc 24:19;SKN;50-0819;34;2;celles puissant
Luc 7:38;SKN;50-0819;38;2;larmes mit
Luc 24:49;SKN;50-0819;45;2;den revetus
Luc 24:49;SKN;50-0819;46;2;den revetus
Luc 24:28;SKN;50-0819;56;2;allaient loin
Luc 17:27;SKN;50-0819;60;2;deluge noe
Luc 16:22;SKN;50-0819;63;2;pauvre sein
Luc 7:7;SKN;50-0819;64;2;digne gueri
Luc 7:36;SKN;50-0819;65;2;entrant table
Luc 2:10;SKN;50-0819;67;2;nayez peur
Luc 18:41;SKN;50-0819;68;2;recouvre vue
Luc 18:42;SKN;50-0819;68;2;recouvre vue
Luc 17:7;SKN;50-0820A;5;2;dentre dise
Luc 11:31;SKN;50-0820A;10;2;bouts midi
Luc 16:22;SKN;50-0820A;18;2;pauvre sein
Luc 16:22;SKN;50-0820A;23;2;mourut pauvre
Luc 7:36;SKN;50-0820A;34;2;manger table
Luc 7:37;SKN;50-0820A;35;2;plein table
Luc 24:30;SKN;50-0820A;35;2;pain table
Luc 16:22;SKN;50-0820A;41;2;pauvre riche
Luc 17:14;SKN;50-0820A;64;2;allant sen
Luc 1:14;SKN;50-0820A;77;2;dallegresse joie
Luc 7:36;SKN;50-0820A;103;2;entrant manger
Luc 11:24;SKN;50-0820A;103;2;cherchant nen
Luc 7:44;SKN;50-0820A;104;2;cheveux mas
Luc 17:15;SKN;50-0820A;105;2;haute voix
Luc 18:5;SKN;50-0820A;114;2;ferai neanmoins
Luc 7:43;SKN;50-0820A;122;2;davantage quitte
Luc 17:22;SKN;50-0820A;125;2;verrez viendront
Luc 11:24;SKN;50-0820A;126;2;repos secs
Luc 7:38;SKN;50-0820A;132;2;cheveux pleurant
Luc 7:44;SKN;50-0820A;132;2;cheveux mas
Luc 2:22;SKN;50-0820E;3;2;furent selon
Luc 17:14;SKN;50-0820E;3;2;furent sen
Luc 24:10;SKN;50-0820E;3;2;dirent furent
Luc 24:32;SKN;50-0820E;3;2;dirent lorsquil
Luc 24:46;SKN;50-0820E;11;2;dentre troisieme
Luc 7:47;SKN;50-0820E;21;2;pardonne pardonnes
