ref;traduction;code;paragraphe;statut;note;cadre
Jean 5:19;SKN;59-0422;22;EXACT;jesus verite dis fils rien lui meme quil [couverture 6/14];CONCEPT
Jean 5:19;SKN;59-0422;56;EXACT;jesus verite dis fils rien lui meme quil [couverture 7/14];CONCEPT
Jean 6:0;SKN;59-0422;32;VALIDE;chap->v.22: etait lautre cote quil avait dautre petit celui;CONCEPT
Marc 16:0;SKN;59-0422;76;VALIDE;chap->v.16: celui cru sera sauve celui cru sera;CONCEPT
Matthieu 10:0;SKN;59-0422;31;VALIDE;chap->v.25: disciple quil maitre quil ont appele maitre maison;CONCEPT
1 Corinthiens 12:0;SKN;59-0814;63;VALIDE;chap->v.10: autre autre prophetie autre autre langues autre linterpretation;CONCEPT
Psaumes 46:1;SKN;59-0814;14;VALIDE;dieu refuge secours;CONCEPT
Psaumes 119:56;SKN;59-0814;14;VALIDE;cela jai tes preceptes;CONCEPT
1 Corinthiens 12:0;SKN;59-0823;126;VALIDE;chap->v.3: cest pourquoi fais savoir nul homme lesprit dieu;CONCEPT
1 Corinthiens 13:0;SKN;59-0823;112;VALIDE;chap->v.13: maintenant foi lamour cest lamour;CONCEPT
Apocalypse 12:0;SKN;59-0823;126;VALIDE;chap->v.11: eux lont cause sang lagneau cause parole temoignage;CONCEPT
Galates 1:8;SKN;59-0823;126;VALIDE;memes ange venu ciel avons quil soit anatheme;CONCEPT
Matthieu 1:0;SKN;59-0823;126;VALIDE;chap->v.18: naissance jesus christ arriva ainsi mere marie fiancee;CONCEPT
Matthieu 11:0;SKN;59-0823;59;VALIDE;chap->v.27: mont pere fils nest pere pere nest fils;CONCEPT
Matthieu 28:19;SKN;59-0823;126;VALIDE;allez faites disciples nations baptisant nom pere fils;CONCEPT
Romains 3:0;SKN;59-0823;34;VALIDE;chap->v.4: dieu soit vrai homme menteur selon ecrit sorte;CONCEPT
Romains 3:4;SKN;59-0823;64;VALIDE;dieu soit vrai ecrit;CONCEPT
1 Corinthiens 12:0;SKN;59-1125;48;VALIDE;chap->v.13: avons baptises seul esprit seul corps soit juifs;CONCEPT
Jean 14:0;SKN;59-1125;52;VALIDE;chap->v.10: moi suis pere pere moi paroles moi dis;CONCEPT
Jean 19:5;SKN;59-1125;54;PARTIEL;commencé, pas achevé — jesus vetement;CONCEPT
1 Corinthiens 12:0;SKN;59-1216;131;VALIDE;chap->v.13: avons baptises dun seul esprit seul corps soit;CONCEPT
1 Jean 2:0;SKN;59-1216;60;VALIDE;chap->v.1: mes enfants ecris choses afin pechiez quelquun peche;CONCEPT
1 Jean 2:1;SKN;59-1216;60;EXACT;mes enfants ecris choses afin pechiez quelquun peche [couverture 13/14];CONCEPT
1 Jean 2:12;SKN;59-1216;60;EXACT;ecris enfants parce vos peches [couverture 5/7];CONCEPT
1 Jean 16:7;SKN;59-1216;59;LAPSUS;annoncé — dit en réalité jean 16:7;CONCEPT
jean 16:7;SKN;59-1216;59;LAPSUS-LU;lu — annoncé sous 1 Jean 16:7;CONCEPT
Actes 1:8;SKN;59-1216;101;EXACT;recevrez puissance saint serez mes temoins jerusalem judee [couverture 11/14];CONCEPT
Actes 2:0;SKN;59-1216;97;VALIDE;chap->v.17: derniers jours dieu repandrai esprit chair vos fils;CONCEPT
Actes 8:14;SKN;59-1216;124;VALIDE;etaient jerusalem ayant avait recu parole dieu pierre;CONCEPT
Apocalypse 11:0;SKN;59-1216;93;VALIDE;chap->v.11: apres jours lesprit vie dieu eux pieds;CONCEPT
Ephesiens 4:30;SKN;59-1216;45;EXACT;nattristez saint dieu lequel avez scelles jour redemption [couverture 8/9];CONCEPT
Ephesiens 4:30;SKN;59-1216;46;EXACT;nattristez saint dieu lequel avez scelles jour redemption [couverture 8/9];CONCEPT
Esaie 28:0;SKN;59-1216;67;VALIDE;chap->v.8: tables pleines sales quil place;CONCEPT
Galates 1:8;SKN;59-1216;131;VALIDE;ange venu ciel avons quil soit anatheme;CONCEPT
Galates 3:29;SKN;59-1216;40;EXACT;etes christ dabraham heritiers selon promesse [couverture 7/8];CONCEPT
Hebreux 4:0;SKN;59-1216;95;VALIDE;chap->v.10: celui repos lui sest repose dieu sest repose;CONCEPT
Jean 14:0;SKN;59-1216;52;VALIDE;chap->v.10: moi suis moi moi dis dis moi meme;CONCEPT
Jean 14:0;SKN;59-1216;56;VALIDE;chap->v.17: lesprit verite monde recevoir parce quil voit connait;CONCEPT
Jean 16:7;SKN;59-1216;59;EXACT;dis verite avantageux moi men aille vais consolateur [couverture 13/14];CONCEPT
Joel 2:28;SKN;59-1216;96;EXACT;apres cela repandrai esprit chair vos fils filles [couverture 12/14];CONCEPT
Luc 24:49;SKN;59-1216;98;VALIDE;voici pere ville jusqua soyez revetus puissance den;CONCEPT
Romains 4:0;SKN;59-1216;41;VALIDE;chap->v.11: signe circoncision foi avait quil soit etant;CONCEPT
1 Corinthiens 12:0;SKN;60-0911E;141;VALIDE;chap->v.3: pourquoi parlant dieu jesus jesus;CONCEPT
Actes 1:0;SKN;60-0911E;77;VALIDE;chap->v.3: apres lui vivant etant jours;CONCEPT
Actes 1:8;SKN;60-0911E;72;EXACT;recevrez puissance saint serez mes temoins jerusalem judee [couverture 10/14];CONCEPT
Actes 1:8;SKN;60-0911E;73;EXACT;recevrez puissance saint serez mes temoins jerusalem judee [couverture 10/14];CONCEPT
Actes 1:8;SKN;60-0911E;80;VALIDE;saint serez mes temoins;CONCEPT
Actes 5:32;SKN;60-0911E;89;EXACT;lui sommes temoins choses ainsi saint dieu donne [couverture 10/12];CONCEPT
Actes 7:38;SKN;60-0911E;31;PARTIEL;commencé, pas achevé — lui nos;CONCEPT
Actes 19:0;SKN;60-0911E;139;VALIDE;chap->v.2: avez recu saint cru lui saint;CONCEPT
Apocalypse 13:0;SKN;60-0911E;49;VALIDE;chap->v.1: vis mer bete avait dix cornes sept tetes;CONCEPT
Apocalypse 13:0;SKN;60-0911E;50;VALIDE;chap->v.1: vis mer bete avait dix cornes sept tetes;CONCEPT
Apocalypse 17:0;SKN;60-0911E;41;VALIDE;chap->v.1: sept anges avaient sept coupes vint disant viens;CONCEPT
Colossiens 1:0;SKN;60-0911E;78;VALIDE;chap->v.18: corps lui commencement premier morts afin choses lui;CONCEPT
Colossiens 1:17;SKN;60-0911E;78;EXACT;lui avant choses subsistent [couverture 6/6];CONCEPT
Colossiens 3:26;SKN;60-0911E;155;LAPSUS;annoncé — dit en réalité colossiens 3:11;CONCEPT
colossiens 3:11;SKN;60-0911E;155;LAPSUS-LU;lu — annoncé sous Colossiens 3:26;CONCEPT
Ephesiens 1:0;SKN;60-0911E;74;VALIDE;chap->v.1: jesus christ dieu christ jesus;CONCEPT
Ephesiens 1:22;SKN;60-0911E;74;VALIDE;pieds donne chef;CONCEPT
Ephesiens 4:30;SKN;60-0911E;137;EXACT;saint dieu lequel avez scelles jour redemption [couverture 7/9];CONCEPT
Ephesiens 5:25;SKN;60-0911E;158;PARTIEL;commencé, pas achevé — christ;CONCEPT
Galates 3:26;SKN;60-0911E;155;EXACT;etes fils dieu foi christ jesus [couverture 6/6];CONCEPT
Hebreux 11:0;SKN;60-0911E;61;VALIDE;chap->v.4: foi offrit dieu sacrifice sacrifice juste dieu;CONCEPT
Hebreux 12:13;SKN;60-0911E;159;PARTIEL;commencé, pas achevé — afin plutot;CONCEPT
