ref;traduction;code;paragraphe;statut;note
Esther 6:0;SKN;57-1002;354;VALIDE;chap->v.13: femme lui etait arrive femme lui
Genese 38:0;SKN;57-1002;354;VALIDE;chap->v.28: deux main femme main fil
Genese 38:0;SKN;57-1002;548;VALIDE;chap->v.24: trois mois apres belle prostituee
Jean 5:7;SKN;57-1002;479;PARTIEL;commencé, pas achevé — lui
Jean 5:24;SKN;57-1002;377;EXACT;parole croit vie eternelle vient mort [couverture 5/14]
Marc 14:62;SKN;57-1002;440;EXACT;jesus suis verrez fils assis droite puissance venant [couverture 10/11]
Matthieu 24:0;SKN;57-1002;516;VALIDE;chap->v.2: voyez dis sera soit
Matthieu 24:0;SKN;57-1002;517;VALIDE;chap->v.2: voyez dis sera soit
Matthieu 27:0;SKN;57-1002;418;VALIDE;chap->v.58: celui alle corps jesus alors corps
Psaumes 16:0;SKN;57-1002;376;VALIDE;chap->v.7: donne meme mes
Psaumes 16:10;SKN;57-1002;408;VALIDE;ame permettras saint voie corruption
Romains 8:1;SKN;57-1002;400;EXACT;maintenant aucune condamnation ceux christ jesus [couverture 6/6]
1 Corinthiens 12:0;SKN;58-0207;18;VALIDE;chap->v.13: avons baptises seul esprit seul corps soit soit
1 Corinthiens 12:0;SKN;58-0207;49;VALIDE;chap->v.3: cest pourquoi fais savoir homme lesprit dieu jesus
Hebreux 13:8;SKN;58-0207;14;VALIDE;jesus meme hier aujourdhui eternellement
Hebreux 13:8;SKN;58-0207;16;EXACT;jesus christ meme hier aujourdhui eternellement [couverture 5/6]
Jean 1:0;SKN;58-0207;25;VALIDE;chap->v.30: cest celui moi apres moi homme prend place
Jean 4:0;SKN;58-0207;68;VALIDE;chap->v.25: femme lui sais christ vient sera fera choses
Jean 5:0;SKN;58-0207;37;VALIDE;chap->v.4: ange descendait agitait leau premier apres leau avait
Jean 5:19;SKN;58-0207;23;EXACT;jesus verite dis fils rien lui meme quil [couverture 6/14]
Jean 15:0;SKN;58-0207;19;VALIDE;chap->v.2: sarment porte fruit sarment porte fruit afin quil
Psaumes 103:3;SKN;58-0207;5;VALIDE;cest lui tes guerit
1 Corinthiens 12:0;SKN;58-0214;8;VALIDE;chap->v.3: cest pourquoi nul homme lesprit dieu jesus nul
Hebreux 13:8;SKN;58-0214;19;VALIDE;jesus meme hier aujourdhui eternellement
