ref;traduction;code;paragraphe;statut;cadre;note
1 Corinthiens 12:28;SKN;58-0207;49;VALIDE;CONCEPT;chapitre résolu v28 (5 mots: apotres docteurs dons langues prophetes)
1 Corinthiens 12:29;SKN;58-0207;49;VALIDE;CONCEPT;chapitre résolu v29 (3 mots: apotres docteurs prophetes)
Hebreux 13:8;SKN;58-0207;14;VALIDE;CONCEPT;jesus meme hier aujourdhui eternellement
Hebreux 13:8;SKN;58-0207;16;EXACT;CONCEPT;jesus christ meme hier aujourdhui eternellement [couverture 5/6]
Jean 1:43;SKN;58-0207;25;VALIDE;CONCEPT;chapitre résolu v43 (4 mots: appele jonas seras simon)
Jean 1:46;SKN;58-0207;25;VALIDE;CONCEPT;chapitre résolu v46 (5 mots: joseph nathanael nazareth philippe prophetes)
Jean 1:47;SKN;58-0207;25;VALIDE;CONCEPT;chapitre résolu v47 (4 mots: nathanael nazareth philippe viens)
Jean 1:49;SKN;58-0207;25;VALIDE;CONCEPT;chapitre résolu v49 (3 mots: appele nathanael philippe)
Jean 5:3;SKN;58-0207;37;VALIDE;CONCEPT;chapitre résolu v3 (3 mots: boiteux couches leau)
Jean 5:4;SKN;58-0207;37;VALIDE;CONCEPT;chapitre résolu v4 (7 mots: agitait agitee ange descendait gueri leau premier)
Jean 5:6;SKN;58-0207;37;VALIDE;CONCEPT;chapitre résolu v6 (3 mots: couche etat gueri)
Jean 5:7;SKN;58-0207;37;VALIDE;CONCEPT;chapitre résolu v7 (3 mots: agitee leau nai)
Jean 5:9;SKN;58-0207;37;VALIDE;CONCEPT;chapitre résolu v9 (4 mots: aussitot fut gueri lit)
Jean 5:11;SKN;58-0207;37;VALIDE;CONCEPT;chapitre résolu v11 (3 mots: gueri lit prends)
Jean 5:19;SKN;58-0207;23;EXACT;CONCEPT;jesus verite dis fils rien lui meme quil [couverture 6/14]
Jean 15:4;SKN;58-0207;19;VALIDE;CONCEPT;chapitre résolu v4 (4 mots: cep demeure porter sarment)
Jean 15:5;SKN;58-0207;19;VALIDE;CONCEPT;chapitre résolu v5 (3 mots: cep demeure sarments)
Psaumes 103:3;SKN;58-0207;5;VALIDE;CONCEPT;cest lui tes guerit
1 Corinthiens 12:10;SKN;58-0214;8;VALIDE;CONCEPT;chapitre résolu v10 (3 mots: langues linterpretation prophetie)
1 Corinthiens 12:28;SKN;58-0214;8;VALIDE;CONCEPT;chapitre résolu v28 (5 mots: apotres docteurs dons langues prophetes)
1 Corinthiens 12:29;SKN;58-0214;8;VALIDE;CONCEPT;chapitre résolu v29 (4 mots: apotres docteurs font prophetes)
Hebreux 13:8;SKN;58-0214;19;VALIDE;CONCEPT;jesus meme hier aujourdhui eternellement
Jean 5:3;SKN;58-0214;42;VALIDE;CONCEPT;chapitre résolu v3 (4 mots: attendant boiteux daveugles leau)
Jean 5:4;SKN;58-0214;42;VALIDE;CONCEPT;chapitre résolu v4 (4 mots: agitait ange leau maladie)
Jean 5:6;SKN;58-0214;42;VALIDE;CONCEPT;chapitre résolu v6 (3 mots: couche etat voyant)
Jean 5:9;SKN;58-0214;42;VALIDE;CONCEPT;chapitre résolu v9 (3 mots: fut lit sabbat)
Jean 5:10;SKN;58-0214;42;VALIDE;CONCEPT;chapitre résolu v10 (3 mots: juifs lit sabbat)
Jean 5:15;SKN;58-0214;42;VALIDE;CONCEPT;chapitre résolu v15 (3 mots: juifs lavait sen)
Jean 12:20;SKN;58-0214;19;VALIDE;CONCEPT;avait quelques grecs ceux etaient montes adorer pendant
Jean 14:7;SKN;58-0214;26;PARTIEL;CONCEPT;commencé, pas achevé — pere maintenant
Jean 15:4;SKN;58-0214;26;VALIDE;CONCEPT;chapitre résolu v4 (4 mots: cep fruit porter sarment)
Jean 15:5;SKN;58-0214;26;VALIDE;CONCEPT;chapitre résolu v5 (3 mots: cep fruit sarments)
1 Corinthiens 12:28;SKN;58-0223;11;VALIDE;CONCEPT;chapitre résolu v28 (4 mots: apotres docteurs dons prophetes)
1 Corinthiens 12:29;SKN;58-0223;11;VALIDE;CONCEPT;chapitre résolu v29 (4 mots: apotres docteurs font prophetes)
Hebreux 13:8;SKN;58-0223;16;VALIDE;CONCEPT;jesus christ meme hier aujourdhui eternellement
Jean 5:4;SKN;58-0223;42;VALIDE;CONCEPT;chapitre résolu v4 (4 mots: agitait ange leau maladie)
Jean 5:15;SKN;58-0223;42;VALIDE;CONCEPT;chapitre résolu v15 (3 mots: juifs lavait sen)
Jean 5:19;SKN;58-0223;43;EXACT;CONCEPT;jesus verite dis fils rien lui meme quil [couverture 12/14]
Matthieu 10:6;SKN;58-0223;37;VALIDE;CONCEPT;chapitre résolu v6 (3 mots: brebis disrael perdues)
Psaumes 103:3;SKN;58-0223;12;VALIDE;CONCEPT;cest lui tes guerit
Jean 1:23;SKN;58-0312;33;VALIDE;CONCEPT;chapitre résolu v23 (3 mots: desert droit voix)
Jean 1:41;SKN;58-0312;33;VALIDE;CONCEPT;chapitre résolu v41 (3 mots: andre lavaient simon)
Jean 1:43;SKN;58-0312;33;VALIDE;CONCEPT;chapitre résolu v43 (5 mots: appele cephas jonas seras simon)
Jean 1:23;SKN;58-0312;35;VALIDE;CONCEPT;chapitre résolu v23 (3 mots: desert droit voix)
Jean 1:41;SKN;58-0312;35;VALIDE;CONCEPT;chapitre résolu v41 (3 mots: andre lavaient simon)
Jean 1:43;SKN;58-0312;35;VALIDE;CONCEPT;chapitre résolu v43 (5 mots: appele cephas jonas seras simon)
Jean 1:46;SKN;58-0312;35;VALIDE;CONCEPT;chapitre résolu v46 (4 mots: joseph nathanael nazareth philippe)
Jean 1:47;SKN;58-0312;35;VALIDE;CONCEPT;chapitre résolu v47 (4 mots: nathanael nazareth philippe viens)
Jean 1:49;SKN;58-0312;35;VALIDE;CONCEPT;chapitre résolu v49 (4 mots: appele connais nathanael philippe)
Jean 5:19;SKN;58-0312;50;EXACT;CONCEPT;jesus verite dis fils rien lui meme quil [couverture 5/14]
Jean 5:19;SKN;58-0312;51;EXACT;CONCEPT;jesus verite dis fils rien lui meme quil [couverture 5/14]
Jean 11:19;SKN;58-0312;47;VALIDE;CONCEPT;chapitre résolu v19 (3 mots: aupres juifs plusieurs)
Jean 11:31;SKN;58-0312;47;VALIDE;CONCEPT;chapitre résolu v31 (3 mots: juifs pleurer setait)
Jean 11:45;SKN;58-0312;47;VALIDE;CONCEPT;chapitre résolu v45 (3 mots: aupres juifs plusieurs)
