ref;traduction;code;paragraphe;nb_mots;mots
Luc 7:45;SKN;56-0513;1;3;baiser cesse pieds
Luc 10:7;SKN;56-0513;1;6;buvant digne mangeant offert passez salaire
Luc 17:7;SKN;56-0513;1;7;avance ayant champs esclave mets revient suite
Luc 17:33;SKN;56-0513;1;3;perdra quiconque sauver
Luc 18:5;SKN;56-0513;1;4;cesse ferai peur revenant
Luc 19:4;SKN;56-0513;1;4;allait courant passer sycomore
Luc 24:20;SKN;56-0513;1;3;chefs condamne sacrificateurs
Luc 24:52;SKN;56-0513;1;4;ayant hommage joie rendu
Luc 2:22;SKN;56-0610;1;4;jerusalem loi purification selon
Luc 2:27;SKN;56-0610;1;5;apportaient loi selon temple vint
Luc 2:34;SKN;56-0610;1;4;benit chute lon plusieurs
Luc 7:38;SKN;56-0610;1;5;cheveux larmes pieds pleurant tenant
Luc 11:31;SKN;56-0610;1;7;bouts condamnera entendre jugement reine sagesse vint
Luc 17:14;SKN;56-0610;1;4;nets quen sen voyant
Luc 18:7;SKN;56-0610;1;5;crient elus ferait justice nuit
Luc 19:2;SKN;56-0610;1;4;appele chef riche zachee
Luc 19:5;SKN;56-0610;1;6;demeure endroit fut regardant vite zachee
Luc 21:24;SKN;56-0610;1;5;jerusalem lepee nations pieds seront
Luc 24:12;SKN;56-0610;1;4;leve sen setant seuls
Luc 24:23;SKN;56-0610;1;4;danges disent quelles vivant
Luc 24:30;SKN;56-0610;1;3;benit pain rompu
Luc 17:20;SKN;56-0615;20;3;attirer etant lattention
Luc 7:44;SKN;56-0723;10;3;essuyes larmes pieds
Luc 16:24;SKN;56-0814;97;4;bout envoie pitie tourmente
Luc 7:38;SKN;56-0826;45;3;couvrait pieds tenant
Luc 3:16;SKN;56-0930E;21;3;baptise baptisera digne
Luc 11:31;SKN;56-1001;46;10;condamnera entendre generation jugement levera midi reine sagesse salomon vint
Luc 11:32;SKN;56-1001;50;7;condamneront generation jonas jugement leveront predication repentis
Luc 11:31;SKN;56-1001;51;10;condamnera entendre generation jugement levera midi reine sagesse salomon vint
Luc 11:32;SKN;56-1001;51;5;generation jonas jugement ninive repentis
Luc 11:31;SKN;56-1001;52;7;condamnera entendre jugement levera reine sagesse salomon
Luc 11:31;SKN;56-1001;61;5;condamnera jugement levera reine salomon
Luc 17:27;SKN;56-1005;41;3;buvait donnait mangeait
Luc 11:31;SKN;56-1207;14;10;condamnera entendre generation jugement levera midi reine sagesse salomon vint
Luc 11:31;SKN;56-1207;63;6;condamnera jugement levera reine sagesse salomon
Luc 24:13;SKN;56-1207;72;4;chemin emmaus jerusalem village
Luc 16:24;SKN;56-1215;23;3;aie pitie tourmente
Luc 7:38;SKN;56-1215;44;3;larmes pieds pleurant
Luc 24:31;SKN;57-0114;19;3;disparut furent reconnurent
Luc 24:32;SKN;57-0114;19;6;brulait chemin dedans dirent lorsquil parlait
Luc 2:38;SKN;57-0115;76;3;attendaient jerusalem survenant
Luc 18:43;SKN;57-0127E;12;5;glorifiant linstant recouvra voyant vue
Luc 11:31;SKN;57-0228;3;10;condamnera entendre generation jugement levera midi reine sagesse salomon vint
Luc 11:31;SKN;57-0228;29;6;condamnera generation jugement levera reine salomon
Luc 11:31;SKN;57-0228;38;4;condamnera generation levera vint
Luc 24:32;SKN;57-0307;1;4;brulait chemin dedans parlait
Luc 10:11;SKN;57-0310A;24;4;approche attachee pieds poussiere
Luc 7:37;SKN;57-0310A;40;4;dalbatre parfum pharisien vase
Luc 7:37;SKN;57-0310A;46;4;dalbatre parfum pharisien vase
Luc 7:45;SKN;57-0310A;47;3;baiser mas pieds
Luc 7:45;SKN;57-0310A;49;4;baiser cesse mas pieds
Luc 24:32;SKN;57-0325;1;5;brulait chemin dedans lorsquil parlait
Luc 17:20;SKN;57-0325;39;3;attirer lattention maniere
Luc 1:14;SKN;57-0407M;9;4;joie naissance plusieurs rejouiront
Luc 1:80;SKN;57-0407M;9;5;deserts fut israel jusquau manifestation
Luc 5:8;SKN;57-0407M;9;5;ayant genoux jeta pecheur retire
Luc 7:45;SKN;57-0407M;9;3;baiser mas pieds
Luc 7:46;SKN;57-0407M;9;4;dhuile nas oint pieds
Luc 10:9;SKN;57-0407M;9;5;approche guerissez infirmes royaume seront
Luc 17:14;SKN;57-0407M;9;5;arriva montrez quen rendus sen
Luc 17:27;SKN;57-0407M;9;5;deluge donnait fit jusquau noe
Luc 18:7;SKN;57-0407M;9;4;ferait nuit patience use
Luc 24:17;SKN;57-0407M;9;3;marchant quels tenez
Luc 24:32;SKN;57-0407M;9;5;brulait chemin dedans lorsquil parlait
Luc 7:45;SKN;57-0418;51;3;couvrir mas pieds
Luc 21:24;SKN;57-0418;51;5;jerusalem lepee nations pieds seront
Luc 24:33;SKN;57-0418;51;4;jerusalem levant lheure sen
Luc 24:32;SKN;57-0421E;1;6;brulait chemin dedans dirent lorsquil parlait
Luc 11:31;SKN;57-0517;12;10;condamnera entendre generation jugement levera midi reine sagesse salomon vint
Luc 11:29;SKN;57-0517;15;3;generation jonas mechante
Luc 11:31;SKN;57-0517;19;10;condamnera entendre generation jugement levera midi reine sagesse salomon vint
Luc 11:31;SKN;57-0517;28;6;condamnera generation jugement levera sagesse salomon
Luc 11:31;SKN;57-0517;33;4;condamnera generation jugement levera
Luc 17:28;SKN;57-0613E;29;3;achetait arriva vendait
Luc 11:31;SKN;57-0614;6;10;condamnera entendre generation jugement levera midi reine sagesse salomon vint
Luc 1:52;SKN;57-0705;13;3;descendre eleve puissants
Luc 3:16;SKN;57-0705;13;3;digne leau repondait
Luc 7:36;SKN;57-0705;13;3;entrant manger mit
Luc 19:2;SKN;57-0727;8;5;appele chef publicains riche zachee
Luc 19:4;SKN;57-0727;8;3;monta passer sycomore
Luc 24:32;SKN;57-0804E;7;5;brulait chemin dedans lorsquil parlait
Luc 11:31;SKN;57-0805;1;10;condamnera entendre generation jugement levera midi reine sagesse salomon vint
Luc 11:29;SKN;57-0805;3;3;generation jonas mechante
Luc 11:31;SKN;57-0805;17;9;condamnera entendre generation jugement levera midi reine sagesse salomon
Luc 11:31;SKN;57-0805;31;8;condamnera entendre generation jugement levera reine sagesse salomon
Luc 5:8;SKN;57-0806;28;3;ayant genoux jeta
Luc 2:27;SKN;57-0811E;22;7;apportaient egard loi parents selon temple vint
Luc 2:34;SKN;57-0811E;22;7;benit chute israel marie plusieurs relevement simeon
Luc 2:39;SKN;57-0825E;150;4;accompli eurent loi selon
Luc 18:43;SKN;57-0825E;150;3;donna glorifiant vue
Luc 24:47;SKN;57-0825E;150;5;commencant jerusalem nations peches soient
Luc 24:47;SKN;57-0925;156;3;peches remission repentance
Luc 21:24;SKN;57-1002;521;4;foulee jerusalem nations pieds
Luc 2:4;SKN;57-1222;10;6;appelee bethlehem famille joseph judee nazareth
Luc 2:34;SKN;57-1222;10;4;chute israel marie plusieurs
Luc 7:46;SKN;57-1222;10;3;oint parfum pieds
Luc 24:52;SKN;57-1222;10;4;ayant hommage jerusalem joie
Luc 11:31;SKN;58-0107;8;10;condamnera entendre generation jugement levera midi reine sagesse salomon vint
Luc 11:31;SKN;58-0107;35;4;condamnera generation levera reine
Luc 11:31;SKN;58-0107;44;4;condamnera generation jugement levera
Luc 24:32;SKN;58-0107;50;5;brulait chemin dedans lorsquil parlait
Luc 17:27;SKN;58-0109;3;7;deluge entra fit jusquau larche noe vint
Luc 17:29;SKN;58-0109;3;6;fit lot perir sodome sortit soufre
Luc 17:29;SKN;58-0109;15;3;lot sodome soufre
Luc 17:29;SKN;58-0109;21;3;lot perir sodome
Luc 17:29;SKN;58-0109;22;3;lot sodome sortit
Luc 24:32;SKN;58-0110;1;4;brulait chemin dedans parlait
Luc 17:27;SKN;58-0110;5;3;deluge larche noe
Luc 24:32;SKN;58-0125;1;5;brulait chemin dedans lorsquil parlait
Luc 11:31;SKN;58-0125;14;10;condamnera entendre generation jugement levera midi reine sagesse salomon vint
Luc 11:31;SKN;58-0125;35;4;condamnera generation jugement levera
Luc 11:24;SKN;58-0128;56;4;lieux repos retournerai sorti
Luc 3:16;SKN;58-0128;135;3;delier puissant repondait
Luc 17:27;SKN;58-0202;16;7;deluge entra fit jusquau larche noe vint
Luc 17:29;SKN;58-0202;16;5;fit lot perir sodome sortit
Luc 24:32;SKN;58-0207;64;5;brulait chemin dedans lorsquil parlait
Luc 11:31;SKN;58-0208;10;10;condamnera entendre generation jugement levera midi reine sagesse salomon vint
Luc 11:32;SKN;58-0208;40;4;condamneront jugement leveront repentis
Luc 24:32;SKN;58-0214;17;4;brulait chemin dedans parlait
Luc 17:27;SKN;58-0309E;4;5;deluge entra fit noe vint
Luc 17:29;SKN;58-0309E;4;6;fit lot perir sodome sortit soufre
Luc 11:31;SKN;58-0313;5;10;condamnera entendre generation jugement levera midi reine sagesse salomon vint
Luc 11:32;SKN;58-0313;14;3;generation jonas ninive
Luc 11:31;SKN;58-0313;15;9;condamnera entendre generation levera midi reine sagesse salomon vint
Luc 11:31;SKN;58-0313;30;8;condamnera entendre generation jugement levera sagesse salomon vint
Luc 11:31;SKN;58-0313;32;5;condamnera entendre generation sagesse salomon
Luc 17:29;SKN;58-0315;75;3;lot sodome sortit
Luc 24:32;SKN;58-0316E;94;5;brulait chemin dedans lorsquil parlait
Luc 24:32;SKN;58-0323;27;5;brulait chemin dedans lorsquil parlait
Luc 24:32;SKN;58-0325;1;5;brulait chemin dedans lorsquil parlait
Luc 1:80;SKN;58-0326;17;3;fortifiait jusquau lenfant
Luc 2:4;SKN;58-0326;17;3;david galilee judee
Luc 17:7;SKN;58-0326;17;5;avance ayant dentre esclave suite
Luc 18:7;SKN;58-0326;17;5;crient elus ferait nuit patience
Luc 18:43;SKN;58-0326;17;3;linstant louange vue
Luc 2:27;SKN;58-0328;11;7;apportaient egard loi parents selon temple vint
Luc 2:34;SKN;58-0328;11;6;benit chute israel marie relevement simeon
Luc 24:32;SKN;58-0329;1;5;brulait chemin dedans lorsquil parlait
Luc 11:31;SKN;58-0330E;33;4;condamnera generation levera reine
Luc 11:24;SKN;58-0406E;5;3;nen repos retournerai
Luc 24:32;SKN;58-0406E;34;5;brulait chemin dedans lorsquil parlait
Luc 17:27;SKN;58-0406S;13;3;deluge larche noe
Luc 24:32;SKN;58-0501;33;4;brulait chemin dedans parlait
Luc 11:29;SKN;58-0503;14;3;generation jonas mechante
Luc 11:29;SKN;58-0503;15;3;generation jonas mechante
Luc 11:32;SKN;58-0503;35;4;jonas jugement ninive predication
Luc 11:29;SKN;58-0503;36;3;generation jonas mechante
Luc 11:32;SKN;58-0503;36;6;generation jonas jugement ninive predication repentis
Luc 2:27;SKN;58-0508;17;7;apportaient egard loi parents selon temple vint
Luc 24:32;SKN;58-0515;47;5;brulait chemin dedans lorsquil parlait
Luc 2:4;SKN;58-0517;15;3;joseph monta nazareth
Luc 19:4;SKN;58-0517;15;3;monta passer sycomore
Luc 19:5;SKN;58-0517;42;3;descends endroit zachee
Luc 11:32;SKN;58-0517E;12;4;jonas ninive predication repentis
Luc 24:32;SKN;58-0518;48;4;brulait chemin dedans parlait
Luc 24:32;SKN;58-0521;15;5;brulait chemin dedans lorsquil parlait
Luc 2:39;SKN;58-0523;9;3;eurent retournerent sen
Luc 24:32;SKN;58-0523;9;4;brulait chemin dedans parlait
Luc 17:27;SKN;58-0612;51;3;deluge larche noe
Luc 11:32;SKN;58-0613;21;4;jonas ninive predication repentis
